idbase,arrondissement,adresse,genre,espece,latitude,longitude
2029039,PARIS 19E ARRDT,CENTRE SPORTIF JULES LADOUMEGUE / 35 ROUTE DES PETITS PONTS,Prunus,serrula,48.8935598,2.3973141
186220,PARIS 19E ARRDT,CRECHE COLLECTIVE / 12 RUE GASTON REBUFFAT,Prunus,,48.8850268,2.3689593
2022361,PARIS 13E ARRDT,JARDIN A VOIR / 12 RUE ANNIE GIRARDOT,Prunus,x subhirtella,48.8213440,2.3475974
165170,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 4,Prunus,,48.9068592,2.3997700
2053997,PARIS 16E ARRDT,CENTRE SPORTIF JEAN-PIERRE WIMILLE / 56 BOULEVARD DE L AMIRAL BRUIX,Prunus,,48.8749118,2.2780864
227757,PARIS 13E ARRDT,RUE AIME MOROT,Prunus,maackii,48.8199267,2.3499823
2042269,PARIS 15E ARRDT,SQUARE DES PERICHAUX / 123 BOULEVARD LEFEBVRE,Prunus,avium,48.8294138,2.2994799
164540,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 33,Prunus,avium,48.7639137,2.3774182
131801,PARIS 15E ARRDT,PARC OMNISPORT SUZANNE LENGLEN / 7 BOULEVARD DES FRERES VOISIN,Prunus,,48.8281998,2.2701529
115930,PARIS 11E ARRDT,JARDIN DE LA FOLIE TITON / 17 RUE TITON,Prunus,serrulata,48.8517911,2.3862888
227678,PARIS 16E ARRDT,RUE DU SERGENT MAGINOT,Prunus,x hillieri,48.8402733,2.2554280
288846,PARIS 12E ARRDT,PLACE DU DOCTEUR ANTOINE BECLERE,Prunus,avium,48.8501602,2.3828541
2049176,PARIS 10E ARRDT,JARDIN MARIELLE FRANCO / 46 RUE D ALSACE,Prunus,serrulata,48.8793194,2.3592337
2042962,PARIS 12E ARRDT,RUE ABEL,Prunus,x schmittii,48.8467042,2.3749693
165032,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 39,Prunus,,48.9040942,2.4054402
2038752,PARIS 13E ARRDT,JARDIN OLYMPIADES / 42 RUE DU JAVELOT,Prunus,serrulata,48.8245063,2.3654306
2039580,PARIS 17E ARRDT,PARC CLICHY BATIGNOLLES MARTIN LUTHER KING / 147 RUE CARDINET,Prunus,avium,48.8898541,2.3152652
2045335,PARIS 20E ARRDT,RUE PIXERECOURT,Prunus,,48.8738440,2.3960036
228155,PARIS 13E ARRDT,RUE BAUDRICOURT,Prunus,,48.8256272,2.3629333
127127,PARIS 15E ARRDT,SQUARE DE L OISEAU LUNAIRE / 43 RUE BLOMET,Prunus,,48.8419951,2.3051427
124642,PARIS 13E ARRDT,JARDIN CYPRIAN KAMIL NORWID / 46 RUE DES GRANDS MOULINS,Prunus,,48.8281822,2.3771991
2021110,PARIS 19E ARRDT,BOULEVARD MACDONALD,Prunus,serrulata,48.8985967,2.3759404
164561,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 34,Prunus,avium,48.7642451,2.3785713
129039,PARIS 15E ARRDT,PARC ANDRE CITROEN / 2 RUE DE LA MONTAGNE DE LA FAGE,Prunus,x subhirtella,48.8408935,2.2770219
2021331,PARIS 20E ARRDT,RUE LE VAU,Prunus,maackii,48.8679607,2.4109160
127220,PARIS 13E ARRDT,SQUARE MAIL DE BIEVRE,Prunus,,48.8300089,2.3452038
164941,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 113,Prunus,,48.9017910,2.4104884
323645,PARIS 8E ARRDT,SQUARE MARCEL PAGNOL / 12 RUE DE LABORDE,Prunus,serrulata,48.8759637,2.3202095
2028966,PARIS 19E ARRDT,CENTRE SPORTIF JULES LADOUMEGUE / 35 ROUTE DES PETITS PONTS,Prunus,x subhirtella,48.8934521,2.3969856
165012,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 44,Prunus,,48.9037911,2.4060783
2021123,PARIS 19E ARRDT,BOULEVARD MACDONALD,Prunus,serrulata,48.8985950,2.3758915
2036745,PARIS 10E ARRDT,SQUARE ALBAN SATRAGNE / 11 SQUARE ALBAN SATRAGNE,Prunus,avium,48.8755022,2.3549214
249955,PARIS 15E ARRDT,RUE DE LA FEDERATION,Prunus,x schmittii,48.8547061,2.2906148
181120,PARIS 14E ARRDT,JARDIN DU GROUPE SCOLAIRE MAURICE D OCAGNE / 7 AVENUE MAURICE D OCAGNE,Prunus,serrulata,48.8240745,2.3099860
189204,PARIS 18E ARRDT,ECOLE MATERNELLE / 7 RUE TCHAIKOVSKI,Prunus,,48.8942582,2.3640141
2038489,PARIS 5E ARRDT,RUE DU SOMMERARD,Prunus,,48.8499693,2.3465554
301442,PARIS 13E ARRDT,AVENUE D ITALIE,Prunus,x schmittii,48.8222851,2.3582707
125331,PARIS 13E ARRDT,JARDIN JAMES JOYCE / 7 RUE GEORGE BALANCHINE,Prunus,serrulata,48.8359263,2.3739806
237048,PARIS 13E ARRDT,RUE JEAN ANTOINE DE BAIF,Prunus,,48.8269175,2.3823932
2039573,PARIS 17E ARRDT,PARC CLICHY BATIGNOLLES MARTIN LUTHER KING / 147 RUE CARDINET,Prunus,avium,48.8898449,2.3151210
164471,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 37,Prunus,avium,48.7627930,2.3737700
186979,PARIS 11E ARRDT,CRECHE COLLECTIVE / 62 RUE SAINT SABIN,Prunus,,48.8594047,2.3694973
2001698,PARIS 15E ARRDT,PROMENADE DU QUAI DE GRENELLE / 65 QUAI DE GRENELLE,Prunus,x subhirtella,48.8495084,2.2820476
2010670,BOIS DE VINCENNES,PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE,Prunus,serrula,48.8369382,2.4458995
198002,PARIS 13E ARRDT,CENTRE SPORTIF GEORGES CARPENTIER / 81 BOULEVARD MASSENA,Prunus,serrulata,48.8183317,2.3665509
165011,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 44,Prunus,,48.9037629,2.4061378
228020,PARIS 12E ARRDT,COULEE VERTE RENE DUMONT - MAIL DE REUILLY / ALLEE VIVALDI,Prunus,serrula,48.8414562,2.3912096
111232,PARIS 17E ARRDT,PARC CLICHY BATIGNOLLES MARTIN LUTHER KING / 147 RUE CARDINET,Prunus,serrulata,48.8914392,2.3162958
2042589,PARIS 11E ARRDT,JARDIN LOUISE TALBOT ET AUGUSTIN AVRIAL / 27 RUE BREGUET,Prunus,serrula,48.8582597,2.3753394
164921,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 127,Prunus,,48.9015586,2.4109777
172301,HAUTS-DE-SEINE,CIMETIERE DE BAGNEUX / DIV 0,Prunus,serrulata,48.8104126,2.3110152
185531,PARIS 11E ARRDT,ECOLE ELEMENTAIRE / 31 RUE SAINT BERNARD,Prunus,avium,48.8527268,2.3803832
2029090,PARIS 19E ARRDT,CENTRE SPORTIF JULES LADOUMEGUE / 35 ROUTE DES PETITS PONTS,Prunus,serrula,48.8938490,2.3962234
2018383,PARIS 18E ARRDT,ESPLANADE NATHALIE SARRAUTE,Prunus,x subhirtella,48.8881255,2.3622058
165119,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 17,Prunus,,48.9057835,2.4018474
187295,PARIS 18E ARRDT,ECOLE POLYVALENTE / 14 RUE FOREST,Prunus,,48.8859508,2.3292298
2048907,PARIS 16E ARRDT,JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE,Prunus,,48.8620984,2.2916166
2023188,PARIS 19E ARRDT,PLACE DES FETES,Prunus,,48.8770120,2.3924931
228137,PARIS 8E ARRDT,RUE DE BERNE,Prunus,serrulata,48.8818277,2.3224140
131346,PARIS 15E ARRDT,PARC OMNISPORT SUZANNE LENGLEN / 7 BOULEVARD DES FRERES VOISIN,Prunus,serrulata,48.8296407,2.2703725
2019077,PARIS 13E ARRDT,JARDIN DU MOULIN DE LA POINTE / 63 RUE DU MOULIN DE LA POINTE,Prunus,serrulata,48.8216122,2.3572745
108257,PARIS 16E ARRDT,JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE,Prunus,,48.8616800,2.2907040
188139,PARIS 10E ARRDT,BUISSON SAINT-LOUIS (17B),Prunus,x subhirtella,48.8728967,2.3736315
111298,PARIS 17E ARRDT,PARC CLICHY BATIGNOLLES MARTIN LUTHER KING / 147 RUE CARDINET,Prunus,avium,48.8902717,2.3155692
111305,PARIS 17E ARRDT,PARC CLICHY BATIGNOLLES MARTIN LUTHER KING / 147 RUE CARDINET,Prunus,avium,48.8907561,2.3158060
2017532,PARIS 19E ARRDT,PROMENADE AMALIA RODRIGUES / 9 RUE DES MARCHAIS,Prunus,serrulata,48.8830710,2.3996880
164945,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 100,Prunus,,48.9022842,2.4092449
228154,PARIS 13E ARRDT,RUE BAUDRICOURT,Prunus,,48.8256720,2.3629674
106108,PARIS 13E ARRDT,PARC DE CHOISY / 1 RUE GEORGE EASTMAN,Prunus,,48.8275866,2.3618929
2045329,PARIS 20E ARRDT,RUE PIXERECOURT,Prunus,,48.8734537,2.3960453
